n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,Bayesian,Normal,4,0.8,0.68,1
15,2,Bayesian,Normal,4,0.761630005349099,0.5407329893955651,2
15,2,Bayesian,Normal,4,0.8224450080236484,0.6204421244550746,3
15,2,Bayesian,Normal,4,0.8388147555430854,0.7155066485812073,4
15,2,Bayesian,Normal,4,0.8888084713696648,0.8056417794335397,5
15,2,Bayesian,Normal,5,0.51,0.28,1
15,2,Bayesian,Normal,5,0.5219906233284065,0.21810355084247335,2
15,2,Bayesian,Normal,5,0.6360187533431869,0.3284700455402559,3
15,2,Bayesian,Normal,5,0.6687582483820607,0.4235345696663886,4
15,2,Bayesian,Normal,5,0.7128703505819837,0.5136697005187212,5
15,2,CIRCA,Normal,1,0.0,1.0,1
15,2,CIRCA,Normal,1,0.10551748528997784,0.6208842489101493,2
15,2,CIRCA,Normal,1,0.24615217897487363,0.6576730804760768,3
15,2,CIRCA,Normal,1,0.36074041161093234,0.7844257793109203,4
15,2,CIRCA,Normal,1,0.5254255931573116,0.8745609101632528,5
15,2,CIRCA,Normal,2,0.75,0.98,1
15,2,CIRCA,Normal,2,0.6037143953934399,0.6782548103570575,2
15,2,CIRCA,Normal,2,0.694936899405264,0.8499360243313859,3
15,2,CIRCA,Normal,2,0.7636898389868993,0.9027496488459041,4
15,2,CIRCA,Normal,2,0.8313283956934479,0.9169815116120619,5
